Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uf","SMD-0805",35.6870,1.5240,90.0000,bottom
"C2","1uF","SMD-0805",31.1150,7.7470,90.0000,bottom
"C3","1uF","SMD-0805",38.4810,7.4930,180.0000,bottom
"D1","BZV55C-3,6V","Diode-MiniMELF_Standard",13.3350,7.3660,0.0000,bottom
"D2","LL-S170IRC-2A","LED_0805",37.4650,4.5720,-90.0000,bottom
"R1","10K","SMD-0805",30.6070,1.5240,90.0000,bottom
"R2","10K","SMD-0805",35.8140,7.7470,-90.0000,bottom
"R3","10K","SMD-0805",33.6550,1.5240,90.0000,bottom
"R4","22R","SMD-0805",33.4010,7.7470,-90.0000,bottom
